bloco,talhao,area,safra,data_colheita,TCH,NDVI_b01,NDVI_b02,NDVI_b03,NDVI_b04,NDVI_b05,NDVI_b06,NDVI_b07,NDVI_b08,NDVI_b09,NDVI_b10,NDVI_b11,NDVI_b12
393,8,62.2,2017,2017-08-08,86.42364990689013,0.582323045142599,0.6779784308177482,0.7468898749393256,0.7922015629104666,0.7322038269139887,0.7228632925586267,0.8095653336998578,0.75293981199412,0.7045629459458429,0.5642778258267287,0.483005400696719,0.4551717184838794
393,6,59.76,2017,2017-08-08,64.70371389270976,0.5404359731409285,0.6354572130133881,0.7473739319589249,0.776863877589886,0.7084546426454087,0.6773673458831517,0.74103322182583,0.6133659337165149,0.5259900817122215,0.4186333298173725,0.3477177775552512,0.8451537573700076
392,1,123.21,2017,2017-08-15,70.22049405306497,0.546663654259607,0.6213154308697831,0.7109875774879163,0.7255720124525182,0.7167283320749128,0.7102230981184477,0.7515654235201723,0.7065296921651688,0.6364441264201613,0.5310822065262234,0.411983474848025,0.3601232761580624
391,3,42.52,2017,2017-08-15,79.08866995073892,0.565916548813543,0.6045085152491134,0.7113831683184749,0.7285583865258002,0.7101222900967848,0.7513308489835391,0.7383981725221039,0.6784784841922021,0.585330912879869,0.5352555994064577,0.4466001465115496,0.4203997109387372
391,2,44.94,2017,2017-08-15,69.36863636363637,0.5657567494143363,0.6371422610553027,0.7423923285479875,0.75047580514358,0.7191850370175545,0.6889805272651242,0.7364042444027208,0.6640644205876293,0.6497679122250443,0.560735334887955,0.4331720635197838,0.3812326547859846
391,2,44.94,2014,2014-07-09,69.26744709590274,0.6595440176229653,0.7284501829345373,0.7640732250598044,0.7518736547613506,0.7100393375711578,0.7376526580256344,0.6731279581325131,0.6703159498469449,0.6800638145857281,0.6066237307179754,0.6721875958799928,0.7060006880540154
391,1,75.47,2017,2017-08-15,77.51171579743009,0.618071526859912,0.6656780178269381,0.7455937211948728,0.764968230806548,0.7239710388851714,0.7295971907875091,0.7683549295554216,0.7058429297638779,0.6646682350488191,0.5802412913448509,0.4243741972136429,0.3566751203077674
389,1,108.04,2017,2017-10-15,57.52556818181819,0.3923740944078376,0.4206107334868686,0.4466765078159423,0.5379007170584484,0.6808561378175562,0.7050747708962845,0.7251693801237986,0.6546493266834432,0.7102395251796052,0.6041392268652611,0.5068231343054304,0.4068498568875449
388,1,106.71,2017,2017-08-23,89.47145488029467,0.5384261744568147,0.583994987679299,0.7104128904371376,0.6639913420667761,0.6873075275243014,0.7618982927927832,0.7532290502887811,0.6337111941273348,0.6197131064282843,0.5260635650301554,0.403964188383765,0.3805137568089857
388,1,106.71,2014,2014-07-04,148.21966911764704,0.6771230136594141,0.765644853373608,0.7745748383094029,0.7502178372927459,0.6882367674473477,0.7391597599868315,0.7298425401908806,0.7227272101674214,0.6973286759963998,0.6316787872625433,0.7019362553774592,0.7440695239298315
385,6,32.28,2017,2017-10-17,57.646583097452485,0.4557876713594234,0.4769319822702161,0.5122514571199408,0.6290813201406042,0.7086007753678668,0.6834996240340396,0.6530380817584922,0.75991966153438,0.7284779940504271,0.6540624427100632,0.4973766312592677,0.4765069511508422
385,6,32.28,2015,2015-08-14,123.8621895767751,0.5520188150677219,0.6385414029531811,0.7350407300600365,0.7561936690958578,0.8049563111653969,0.7941330030782899,0.7768761059686319,0.8041122255485449,0.5186719623656054,0.6362261278875943,0.6780682597587357,0.6169726917547966
385,5,79.58,2017,2017-10-17,61.88619854721549,0.391574711980004,0.4093581993590321,0.456022562421098,0.5738553481460108,0.6643142121087204,0.6295773430090201,0.5844702339305002,0.7268552215475785,0.6897205560028188,0.6251715047133936,0.4490353630794274,0.4244225307514793
385,5,79.58,2015,2015-08-14,125.901758641601,0.5311711822476612,0.6148984728480232,0.7169940260035046,0.746698872224819,0.7913065487463798,0.7835571568393143,0.7623101446402849,0.7885331950596803,0.5496634197927609,0.6354759694540013,0.6446539543613174,0.5805822440241215
385,4,61.15,2017,2017-10-17,70.53931339977852,0.4593008919601583,0.4772920610752891,0.5275872058785066,0.6316192437768419,0.7027401779713083,0.6847544816995828,0.6625189190547083,0.7390510231694755,0.6985728912986815,0.6105572043442419,0.4471948647432113,0.4349936294868198
385,4,61.15,2015,2015-08-14,118.97743229689068,0.5687376082233795,0.6456096832886403,0.7376720909174387,0.7523944256948186,0.7970675833813556,0.7769508907547245,0.7617436833195872,0.796329406368268,0.5299337482955082,0.6665574789047242,0.6909203311646139,0.636766432312789
385,3,119.67,2017,2017-10-17,75.65022935779817,0.4894833760981512,0.499922005330572,0.5244638605086324,0.6052674917374362,0.6650868805599442,0.6594863532990118,0.6520532648184617,0.7558761279482942,0.7052598754469516,0.6850110624457001,0.5235126955250937,0.4965398208339616
385,3,119.67,2015,2015-08-14,128.48715596330274,0.5136708796955645,0.6082111813127995,0.7229585599154233,0.7550813611596823,0.8011606153100729,0.7833261970430613,0.7626258032396436,0.7862164052203298,0.51106708985503,0.5940946229917561,0.6031755922362209,0.5500831445679069
385,2,107.53,2017,2017-10-17,50.6297393364929,0.4632297201590104,0.4797479640692472,0.5199548590589653,0.6158200498578315,0.7213085423201424,0.7202950114553625,0.7224704093703328,0.7569244132200161,0.7010384490898064,0.6621942620724439,0.4914490277717626,0.4775174033912745
385,2,107.53,2015,2015-08-14,87.20390329158171,0.55943980174898,0.6224402755866816,0.7397390708879188,0.7594472405811151,0.8038814495559092,0.785145914664975,0.7842950224876404,0.7903579670797896,0.5713095870710189,0.5625072853793776,0.600420426853277,0.538105456986361
385,1,54.99,2017,2017-10-17,79.23990355635925,0.4600862719476483,0.4896930799083418,0.5388045584270528,0.6342364854532717,0.7045331757050007,0.7117213841088474,0.6705990714801324,0.7465421752638172,0.7241875116741814,0.6626303540827405,0.4940128388883765,0.467790668578127
385,1,54.99,2015,2015-08-14,15.509592326139089,0.5362260665787363,0.5846753706763074,0.6834689019055202,0.7204534288966793,0.7647530046002619,0.7439630055564573,0.7429582147762693,0.7403812366484226,0.5526825130535161,0.5289086214788667,0.532793302902545,0.4656144532150236
384,1,91.02,2017,2017-08-25,97.95073700543055,0.4637366465546868,0.5193518917522982,0.7111775871887002,0.6798365928262353,0.6324483551391183,0.731555958064537,0.7391275868125974,0.5302764052474821,0.644833330782036,0.504072001838422,0.4503960374338536,0.4315150615232082
